Order No.,Products,Date
27,P313 P291 P293 P76 P353,2013-1-5
28,P3429 P687 P755 P3956 P3957 P3920 P3905 P3914 P3904 P3674 P3677 P3684 P3685 P3652 P3561 P3563 P3562 P3529 P2899 P2905 P3301 P3450 P3454 P681 P295 P66,2013-1-5
29,P1430 P2955 P1916 P2265 P3536 P55 P294 P622 P495 P1417 P312 P1414 P2229 P1003 P3334 P127 P2035 P3444 P3512,2013-1-5
30,P324 P2091 P258 P246 P430 P1409 P298 P3815 P3822 P996 P1736 P246 P457 P58 P1 P3446 P368 P378 P379 P321 P732 P625 P620 P3305 P292 P3956 P263 P3410 P3956 P291 P89 P789 P1768 P1769 P76 P3407,2013-1-5
31,P203 P538 P412 P3686 P1537 P137 P3301 P3300 P139 P3674 P3678 P3667 P405 P204 P3525 P3518 P10 P3407 P2335 P620,2013-1-5
32,P994 P603 P405 P402 P457 P375 P376 P3302 P773 P353 P3407 P358 P66 P264 P293 P263 P291 P265 P3303 P3305 P137 P985 P62 P3300 P76 P139 P134 P69 P1641 P1724 P2790 P260 P1982 P3515 P901 P722 P826 P1784 P3538 P168 P530 P78 P1259 P506 P1121 P398 P1100 P1109 P1172 P1934 P1821 P193 P1254 P1585 P1224 P1454 P511 P3649,2013-1-5
33,P1260,2013-1-5
34,P46 P3429 P1134 P1219 P2495,2013-1-5
35,P689 P178 P362 P36 P657 P656 P29 P27 P28,2013-1-5
36,P3509 P3325 P2603 P1063 P739 P1061 P1385 P274 P85 P739 P122 P21 P754 P573 P577 P575 P574 P572 P576 P1137 P3429,2013-1-5
37,P1675 P1460,2013-1-5
38,P1 P95 P140 P306 P754 P21 P647 P125 P1092 P1194 P83 P1384 P1061 P1385 P449 P127 P10 P482 P904 P54 P18 P668 P1769 P250 P595 P588 P1377 P169 P170 P35,2013-1-5
39,P1242 P3102 P3100 P3095 P29 P28 P620 P2397 P625 P531 P203 P10,2013-1-5
40,P95 P1641 P452 P295 P199 P1527 P710 P69 P317 P266 P90 P3444 P3438,2013-1-5
41,P672 P317 P69 P288 P1010 P1182 P1184 P1016 P203 P1185 P1421 P759 P1735 P444 P182 P433 P1192 P1759 P377 P173 P404 P1740 P1611 P436 P435 P299 P772 P77 P76 P89 P789 P1858 P1209 P1450 P1451 P793 P794 P497 P795 P550 P527 P2680 P2357 P372 P1872 P1537 P1436 P2171 P1165 P641 P353 P359 P985 P66 P264 P292 P986 P595 P465 P2155 P467 P529 P1145 P171 P612 P278 P90 P1005 P803 P805 P1213 P806 P1526 P162 P169 P312 P1218 P820 P821 P709 P406 P68 P762 P665 P833 P291 P59 P837 P1522 P654 P214 P125 P844 P845 P1677 P598 P1470 P449 P427 P1678 P690 P184 P426 P530 P407 P1608 P88 P569 P174 P711 P475 P1391 P403 P625 P2397 P2391 P538 P29 P731 P695 P644 P1975 P679 P715 P1405 P41 P2244 P606 P396 P22 P78 P149 P3143 P3316 P3429 P3460 P3456 P3446 P3588 P3593 P3591 P3590 P3385 P3358 P3423 P3155 P3706 P3607 P3302 P3406 P3300 P3407 P3408 P3304 P3299 P3303 P3518 P3523 P3543 P3417 P3652 P3653 P3650 P3654 P3464 P3463 P3465 P3510 P3509 P3507 P3535 P3722 P3719 P3717 P3551 P3583 P3733 P3744 P3751 P3750 P3753 P3740 P3746 P3776 P3777 P877 P878 P3248 P1262 P1265 P2525 P2480 P1885 P1641 P1269 P894 P1815 P1465 P240 P242 P905 P176 P911 P708 P321 P230 P2056 P122 P1777 P960 P961 P2388 P600 P2459 P918 P1425 P610 P1430 P1844 P139 P60 P1 P924 P929 P939 P940 P2211 P2212 P2213 P2216 P485 P489 P3686 P3613 P2683 P391 P295 P3607 P198 P1266 P1024 P171 P3614 P3548 P3559 P3558 P3507 P3684 P3545,2013-1-5
42,P3733 P218 P4 P216 P169 P531 P1345 P1731 P1026 P5 P57 P175 P215,2013-1-5
43,P3100 P1893 P1892 P280 P281 P279 P1492 P980 P334 P1481 P1522 P1281 P1281 P1356 P1560 P1878 P1369 P1367 P891 P1993 P1413 P1420 P2928 P762 P984 P2817 P2946 P1973 P1564 P1397 P1407,2013-1-5
44,P1075,2013-1-5
45,P2439,2013-1-5
46,P3304 P829 P762 P292 P265 P984 P3299 P985 P3410 P3303 P291 P3301 P3305 P263 P3521 P3530 P233 P634 P1567 P1206 P1515 P1 P1344 P3088 P994 P603 P996 P1480 P1253 P891 P415 P461 P169 P1205 P2852 P1956 P1684 P1878 P1005 P200 P1774 P1772 P639 P374 P2254 P3519 P3531 P2076 P2077 P178 P421 P422 P225 P462 P3509 P289 P3511 P3507 P70 P71 P600 P3279 P652 P1860 P3420 P2851 P3219 P3614 P3613 P3607 P1510 P1995 P1994 P827 P3654 P78 P2145 P982 P1456 P1448 P304 P3686 P3685 P3684 P3526 P710 P711 P712 P381,2013-1-5
47,P305,2013-1-5
48,P103 P1904 P297 P1236 P296 P2181 P427 P429 P1237 P197 P196 P419 P70 P3744 P3745 P739 P3434 P312 P694 P3901 P3469 P1376 P3817 P528 P3829 P3196 P649 P328 P845 P1760 P245 P323 P186 P1511 P424 P1986 P424 P229 P3797 P1585 P52 P3464 P3702 P3701 P574 P846 P576 P575 P577 P573 P572 P844 P3701 P3702 P859 P702 P584 P1032 P301 P545 P1567 P10 P570,2013-1-5
49,P1439 P1437 P3607 P2008 P766 P1616 P50 P1001 P87 P2307 P391 P161 P1252 P452 P727 P139 P641 P76 P3300 P358,2013-1-5
50,P133 P1479,2013-1-5
51,P311,2013-1-5
52,P66 P1166 P113 P139 P59 P114 P3408 P3407 P3305 P834 P331,2013-1-5
53,P55 P54 P1581 P1449 P1013 P3796 P3797 P3798 P242 P258 P1218 P553 P273 P3789 P3817 P1471 P849 P3639 P3649 P3862 P3935 P3545 P3649 P290 P3507 P1082 P3702 P3701 P294 P3587 P3710 P3711 P3708 P3709 P3536 P126 P1206 P1567 P1515 P3639 P634 P3587 P3446 P3949 P1137 P781 P3587 P1894 P982 P1448 P273 P3817 P41 P600 P63 P312 P896 P1106 P1974 P3485 P305 P199 P130 P381,2013-1-5
54,P3220 P1122 P3233 P353 P114 P641 P591 P114 P312 P372 P1872 P804 P1210 P818 P2819 P795 P250 P382 P672 P197 P853 P426 P178 P1608 P2080 P2233 P85 P2080 P1623 P1332 P1127 P1704 P1705 P1 P973 P976 P1292 P2310 P79 P106 P1526 P840 P1388 P1387 P633 P1469 P2123 P705 P3015 P3014 P773,2013-1-5
55,P153 P140 P1537 P69 P288,2013-1-5
56,P3551,2013-1-5
57,P81 P139 P88 P788 P537 P479 P151 P125 P1639 P1443 P1223 P266 P3143 P3103 P3158 P3088 P1768 P737 P247 P1104 P1187 P1354 P2487 P599 P2581 P2932 P1479 P2923 P1491 P1055 P683 P451,2013-1-5
58,P3428 P3437 P59 P591 P139 P358 P829 P62 P1166 P265 P985 P293 P766 P1360 P3444 P767 P768 P926 P915 P2250 P3359,2013-1-5
59,P59 P1166 P139 P3302 P3304 P159 P27 P28 P1090,2013-1-5
60,P3338 P2602 P129 P3651 P3653 P3652 P581 P920 P3245 P321 P1105 P3543 P3494 P3496 P3495 P3473,2013-1-5
61,P308 P1586 P3750 P3751 P3839 P3825 P3832 P3833 P372 P518 P961,2013-1-5
62,P2642 P164 P163 P22 P3188 P3185 P2224 P615 P801,2013-1-5
63,P1442 P232 P69 P667 P1090 P687 P684 P663 P1070 P23 P25 P233 P127 P391 P289 P69 P70 P290 P71 P687 P78 P2618 P289 P69 P290 P2603 P2035 P165 P1392 P677 P241 P240 P242 P317 P199 P222 P2568 P962 P2045 P1209 P1377 P693 P1488 P1487 P187 P160 P2383 P1639 P28 P362 P79 P853 P694 P482 P677 P91 P90 P1090 P475 P787 P2003 P1177 P904 P1005 P91 P714 P1275 P200 P1276 P905 P1004 P92 P238 P1208 P244 P1772 P311 P1377 P2035 P96 P27 P2601 P711 P2602 P149 P629 P712 P22 P125 P634 P1 P58 P868 P1194 P1385 P1385 P1402 P1567 P1515 P1514 P263 P66 P1061 P19 P26 P668 P18 P708 P111 P95 P83 P1872 P151 P194 P2377 P144 P305 P1918 P2231 P203 P1092 P1061 P1092 P83 P1194 P26 P19 P1223 P21 P1490 P1356 P81 P738 P494 P1034 P324 P1249,2013-1-5
64,P462 P1537 P1917 P974 P1156 P1157 P1166 P985 P66 P595 P465 P1857 P2857 P589 P672 P1012 P1185 P1024 P1348 P678 P1192 P324 P439 P40 P1142 P404 P33 P341 P244 P299 P77 P1768 P789 P497 P795 P1138 P801 P1210 P1872 P803 P804 P46 P562 P1952 P807 P811 P673 P162 P817 P1063 P1669 P622 P2642 P762 P2078 P113 P245 P1328 P214 P1639 P125 P1470 P224 P199 P853 P383 P323 P637 P362 P569 P711 P1241 P1390 P2082 P1064 P2232 P719 P2397 P620 P2603 P1132 P28 P27 P860 P651 P369 P739 P720 P695 P679 P868 P206 P25 P147 P1111 P659 P78 P2679 P2683 P3596 P3442 P3444 P3384 P3385 P3427 P3144 P3172 P3565 P3302 P3408 P3303 P3410 P3485 P3518 P3521 P3523 P3549 P3547 P3653 P3510 P3536 P3616 P3721 P3719 P3716 P3720 P3551 P3697 P1256 P2866 P886 P2015 P2307 P1338 P1268 P1269 P1688 P52 P121 P241 P1277 P911 P230 P231 P2201 P1284 P3025 P958 P961 P2388 P1967 P611 P306 P1918 P962 P156 P2104 P431 P1293 P1844 P139 P358 P390 P1298 P2727 P3545,2013-1-5
65,P311 P125 P260 P2804 P1407 P1537 P34 P171 P1211 P1527 P1351 P66 P290 P72 P1662 P169 P199 P123,2013-1-5
66,P759 P1393 P54 P1177 P2472 P3 P55 P1902 P904 P714 P1004 P1011 P3424,2013-1-5
67,P13 P380 P411 P994 P603 P401 P405 P368 P3464 P3463 P8 P3738 P4 P3733 P3730,2013-1-5
68,P1639 P1208,2013-1-5
69,P3452 P169 P612 P1275 P218 P139,2013-1-5
70,P638,2013-1-5
71,P1743,2013-1-5
72,P435 P187 P105,2013-1-5
73,P2225 P1 P759 P1491 P1592 P2754 P1529 P1542 P1055 P531 P625 P2397 P620 P3424 P3422 P3426 P3425 P3423,2013-1-5
74,P99 P524 P355 P3523 P127 P3616 P3813 P3815 P3827 P3837 P45 P372 P350 P660 P3440 P1015 P1685 P1784 P1121 P168 P694 P1033 P404 P188 P187 P786 P3795 P299 P3341,2013-1-5
75,P536 P1641 P679 P678 P1027 P548 P2793 P2328 P3674 P2905 P3399 P3653 P3650 P317 P72 P71 P70 P418 P1353 P2383 P3816 P3813 P434 P3733 P215 P285 P1128 P286 P2939 P3454 P78 P22 P3088 P711,2013-1-5
76,P38 P1563 P43 P44 P657 P36 P692 P656 P362 P3184 P3188 P3185 P3399 P3361 P3527 P1537 P3436 P3730 P215 P440 P167 P3660 P3659,2013-1-5
77,P573 P575 P576 P505 P1105 P749 P553 P1169 P3596 P1440 P1327 P1326 P653 P4033 P4032 P1006 P1645 P95 P652 P693 P855 P655 P577 P572 P574,2013-1-5
78,P156 P3966 P3548 P3558 P302 P169,2013-1-5
79,P1270,2013-1-6
80,P79 P2078 P1024 P341 P622 P825 P885 P746 P3555 P3513 P464 P3764 P3766 P894 P122 P200 P131 P839 P139 P3196 P3464 P2383 P243,2013-1-6
81,P2297,2013-1-6
82,P3228 P999 P3340 P300 P1084 P3231 P367 P3429 P3340 P570 P250 P1904 P297 P3738 P1084 P1725 P1641 P79 P381 P3969 P216 P3800 P444 P655 P404 P3227 P570 P3738 P3227 P2285 P3451 P33 P3813 P3819 P264 P1904 P297 P1678 P3227 P2602 P2211 P940 P335 P1495,2013-1-6
83,P3521 P3048 P415 P481 P1253 P37 P67 P2044 P3562 P3561 P3563 P3560 P392 P3436 P1407 P1397 P1360 P444 P178 P201 P569 P637 P636 P635 P514 P1167 P595 P1581 P1395 P1448 P1456 P34 P552 P1011 P710 P65 P172 P1450 P1452 P3510 P69 P71 P353 P59 P773 P1061 P266 P639 P1383 P293 P3583,2013-1-6
84,P3649 P79 P404 P188 P33 P300 P3827 P3815 P631 P995,2013-1-6
85,P731 P126 P655 P2602 P2724 P2603 P3088 P22 P710 P711 P1080 P239 P1081 P21 P127 P129 P88 P1466 P308 P92 P1005 P200 P1276 P91 P905 P276 P85 P275 P84 P413 P274 P606 P3048 P451 P1584 P668 P159 P120 P158 P2828 P1132 P205 P28 P204 P29 P2090 P202 P130 P634 P1063 P1602 P54 P55 P846 P10 P2090 P121 P556 P545 P439 P437,2013-1-6
86,P127 P3427 P3426 P3425 P3423 P3424 P3422 P991 P369 P194 P1299 P532 P83 P1385 P1384 P1092 P126,2013-1-6
87,P139 P641 P77 P382 P329,2013-1-6
88,P2905 P1536 P681 P12 P11 P288 P417 P70 P2621 P2761 P373 P299 P2906 P1893 P1892 P6 P994 P840 P1387 P1399 P1515 P333 P980 P694 P2683 P814 P227 P521 P415 P291 P293 P263 P264 P584 P1466 P361 P600 P35 P136 P169 P1924,2013-1-6
89,P3187 P3154 P3149 P3150 P537 P927 P929 P538 P2335 P41 P412 P37 P2679 P2056 P225 P95 P1641 P1608 P372 P2441 P683 P2899 P603 P185 P401,2013-1-6
90,P367 P405 P2441 P1135 P2642 P76 P125 P1 P2544 P603 P1489 P204,2013-1-6
91,P127 P2534 P1866 P126 P133 P966 P2724 P1069 P629 P79 P1276 P200 P92 P1005 P1004 P212 P1012 P1331 P1424 P1203 P1619 P705 P605 P569 P1466 P2828 P2438 P677 P22 P121 P1356 P637 P1584 P160 P159 P158 P668 P19 P18 P447 P100 P105 P204 P1132 P29 P28 P205 P27 P1080 P21 P239 P1081 P754 P755,2013-1-6
92,P1641 P354 P2417 P603 P401 P3434 P1076 P2541 P1763 P405,2013-1-6
93,P1533,2013-1-6
94,P270 P1057 P721 P3103 P898 P1011 P121 P1114,2013-1-6
95,P164 P163 P3750 P3858 P3862 P3861 P3185 P3756 P3518 P3525 P292 P3301 P265 P3305 P264 P3057 P3048 P3650 P3446 P3821 P3420 P57 P219 P22 P17 P3719 P305 P1057 P547 P1784 P3753 P473 P564 P3467,2013-1-6
96,P211 P738 P133 P53 P312,2013-1-6
97,P114 P1427 P59 P81 P133 P629 P1639 P126 P127 P1356 P855 P186 P36 P362 P105 P37 P134 P711 P1240 P2082 P2127 P1065 P607 P41 P393 P78 P287 P3187 P3429 P3595 P3358 P3141 P3302 P3300 P3526 P3521 P3523 P3360 P3463 P3720 P3559 P3557 P3733 P3764 P1624 P310 P2 P2646 P904 P241 P240 P242 P911 P430 P303 P1656 P962 P2979 P1658 P139 P60 P1796 P922 P237 P1125 P1365 P1142 P1647 P705 P1619 P111 P772 P76 P789 P1743 P1516 P337 P1452 P454 P372 P46 P805 P703 P807 P79 P376 P811 P388 P162 P1621 P312 P982 P773 P641 P353 P1166 P66 P1489 P993 P34 P65 P354 P461 P1353 P1005 P1090 P317 P1010 P965 P145 P1973 P1564 P1407 P102 P1646 P67 P1945 P1385 P1907 P40 P3220 P1074 P360 P68 P833 P113,2013-1-6
98,P3424 P620,2013-1-6
99,P184 P126 P10 P1090 P264 P35 P291 P3956 P3410 P3305 P3088 P3813 P2618 P4022 P3518 P793 P425,2013-1-6
100,P1893,2013-1-6
101,P772 P1012 P295 P905 P237,2013-1-6
102,P894 P620 P1641 P555 P286 P1 P1242 P531 P1228 P840 P1388 P678 P1090 P91 P1367 P1637 P2357 P203 P1430 P166 P305 P1024 P926 P595 P1156 P1745 P122 P3219 P3408 P18 P19 P2224 P887 P1090 P3399,2013-1-6
103,P141 P142 P6 P697,2013-1-6
104,P389 P1591 P604 P65 P786 P3569 P3278 P181 P1909 P1351 P805 P171,2013-1-6
105,P2936,2013-1-6
106,P2404 P841 P552 P965 P600 P776 P70 P417 P69 P985 P184 P1444 P83 P1194 P1082 P870 P158 P3618 P3575 P1092 P3 P35 P360 P36 P362 P1998 P3421 P3518 P3523 P3418 P3430 P3562 P3563 P3509 P885 P3419 P1361 P548 P1918 P3543 P3508,2013-1-6
107,P755 P552 P3702 P3493 P3716 P4 P217 P769 P2775 P786 P3870 P3149 P284 P381 P298 P319 P3816 P3813 P3828 P3716 P49 P407 P409 P556 P46 P2331 P520 P2286 P3920 P381 P786 P3733 P3730 P381 P1490 P1402 P1062 P3733,2013-1-6
108,P3624 P3544 P3604 P3571 P3434 P3449 P3572 P3625 P774 P3589 P3086 P665,2013-1-6
109,P382 P41 P3099 P748 P1028 P1977 P40 P1298 P841 P250 P1623 P2233 P2620 P2080 P2081 P1427 P314 P2905 P11 P1243 P12 P1244 P3087 P2773 P1454 P1739 P30 P2118 P1933 P1281 P1280 P1332 P2683 P391 P37 P2419 P2224 P1363 P850 P849 P849 P848 P1471 P840 P1387 P1388 P2918 P2761 P38 P192 P112 P2168 P262 P392 P2378 P1545 P641 P139,2013-1-6
110,P212 P1087 P1491 P105 P247 P1133 P1976 P678 P348 P1647 P3095 P3156 P447 P100 P1457 P1435,2013-1-6
111,P1134 P837 P1230 P372 P536 P129 P126 P312 P1809 P147 P1684 P1234 P825 P2124 P1105 P122,2013-1-6
112,P969 P3795 P585 P3227 P3312 P4031 P4033 P4032 P879 P226 P859 P3792 P3795 P4032 P4030 P279 P372 P286 P664 P281 P71 P3509 P290 P3570 P3792 P279 P4030 P372 P859 P3312 P381 P2615 P258 P135 P3040 P2515 P2569 P4009 P2502 P2569 P2020 P3566 P2721 P4009 P3355 P2721 P4017 P258 P4009 P381,2013-1-6
113,P655 P855 P2023 P78 P149 P1155 P1015 P1732 P1216 P1423 P1297 P2601 P2618 P736 P737 P712,2013-1-6
114,P3301 P3305 P1090 P3231 P204 P266 P733 P629 P1331 P625 P620 P711 P2602 P704 P412 P1383 P549 P405 P401 P185 P404 P224 P186 P1537 P66 P203 P1602,2013-1-6
115,P1101 P3701 P608 P1091 P1974 P1732 P1172 P1109 P782 P10 P3587 P2205 P3442 P178 P184 P689 P183 P3245 P3565 P3429 P3998 P4007 P428 P297 P429 P340 P1904 P1236 P2181 P1678 P1878 P1369 P859 P698 P3746 P494 P697 P179 P491 P322 P394 P1403 P513 P3354 P3790 P26 P18 P3859 P3467 P3 P531 P175 P218 P3451 P1121 P1100 P506 P1198 P3464 P3463 P3179 P266 P1364 P3754 P3751 P92 P1275 P1004 P1208 P1353 P3929 P222 P3915 P3919 P396 P3708 P3711 P1057 P1018,2013-1-6
116,P310 P21 P754 P199 P984 P309,2013-1-6
117,P2616 P15 P215 P606 P3058 P1993 P3055 P625 P2397 P2042 P2042 P625 P620 P2397,2013-1-6
118,P140,2013-1-6
119,P668,2013-1-6
120,P311 P286 P826 P1127 P200 P91 P2948 P695 P584 P260 P1756 P521 P314 P1919 P431 P804 P1210 P1872 P518 P1025 P695 P403 P549 P126 P460 P464 P1356 P123 P1890 P826 P350 P793 P497 P1016 P497 P795 P78 P552 P303,2013-1-6
121,P3324,2013-1-6
122,P3301 P3305 P840 P1388 P1639 P264 P360 P3303 P1651 P263 P2850 P1911 P3164 P3218 P528 P1531 P2932,2013-1-6
123,P646 P515 P3706 P3833 P3831 P479 P480 P372 P10 P3783 P3784 P3575 P3509 P22 P3143 P3510 P3452 P514 P285 P71 P290 P289 P288 P418 P11 P12 P185 P994 P378 P367 P379 P3149 P3150 P3410 P137 P263 P265 P1363 P362 P3685 P875 P3278 P3279 P36 P3684 P287 P3757 P701 P3797 P3798 P3839,2013-1-6
124,P1269,2013-1-6
125,P1293 P1493,2013-1-6
126,P216 P175 P57 P176 P215 P414 P81 P3957 P183 P426,2013-1-6
127,P2054 P208,2013-1-6
128,P3095 P3091 P303 P3823 P3886 P3888 P460 P464 P3798 P412 P41 P1275 P1353 P240 P242 P241 P3519 P3518 P3524 P3324 P1894 P285 P286 P205 P10 P28 P27 P205 P29 P3339 P3340 P2566 P1324 P401 P3399 P378 P549 P13 P538 P3302 P3406 P3302 P3408 P3686 P37 P1166 P293 P3305 P66 P263 P291 P3303 P3410,2013-1-6
129,P11 P762 P985 P76 P113 P3407 P3302 P139 P641 P3798 P3797 P66 P40 P1743 P3303 P805 P426 P17 P1590 P83 P31 P3709,2013-1-6
130,P297,2013-1-6
131,P2393,2013-1-6
132,P203 P620 P2397 P625 P204 P29 P28 P27 P156 P157 P10 P104,2013-1-6
133,P2042 P658 P2041 P1340 P317 P69 P1409 P995 P78 P22 P531 P620 P2397 P625 P1135 P2568 P1209 P71 P70 P1609 P363 P1395 P151 P199 P1090 P122 P337 P1636 P239 P309 P846 P673 P311 P125 P655 P2121 P855 P1866 P2534 P869 P126 P127 P1122 P372 P599 P52 P2855 P2087 P1420 P1344 P1269 P1268 P79 P2383 P1034 P186 P187 P1491 P2025 P1542 P1536 P681 P2336 P2177 P1592 P969 P247 P271 P1211,2013-1-6
134,P1537 P2777 P632 P2114 P1436 P977 P558 P264 P2691 P2850 P1911 P597 P354 P452 P91 P69 P212 P1184 P2120 P1420 P1024 P1417 P2515 P1472 P154 P2401 P1031 P1197 P438 P437 P2378 P3220 P1114 P404 P33 P777 P778 P779 P341 P187 P1207 P1768 P789 P1743 P1379 P550 P1131 P1380 P1383 P1361 P796 P1211 P536 P805 P2039 P443 P1213 P808 P809 P810 P811 P1668 P305 P160 P169 P622 P583 P374 P2804 P1673 P1151 P98 P1545 P2621 P2569 P1419 P2521 P1674 P1473 P14 P725 P35 P762 P441 P831 P1827 P1355 P113 P1773 P841 P266 P664 P311 P716 P1234 P598 P449 P445 P137 P857 P475 P1929 P1242 P314 P2601 P717 P860 P651 P561 P222 P85 P553 P644 P247 P1948 P477 P2333 P2405 P78 P549 P3088 P3093 P3168 P3149 P3229 P3141 P3172 P3302 P2687 P2194 P1641 P239 P894 P1890 P904 P482 P905 P2102 P230 P1696 P687 P122 P2938 P464 P2791 P10 P961 P308 P1967 P15 P1918 P2104 P1575 P1844 P2710 P2059 P2204 P1 P1295 P200 P2566 P74 P1297 P3322 P3323 P719 P858 P2082 P1942,2013-1-6
135,P1137 P3719 P3723 P3424,2013-1-6
136,P2512,2013-1-6
137,P676 P1014 P637 P129 P350 P382 P2621 P1966 P1539 P162 P592 P583 P713 P171 P1077 P180 P997 P1668 P2700 P1571 P392 P448 P2044 P980 P511 P764 P2037 P1991 P1589 P1776 P1645 P677 P114 P821 P822 P876 P648 P1351,2013-1-6
138,P28 P528 P636 P3495 P420 P531 P3494 P3496 P175,2013-1-6
139,P233 P3829 P3817 P3820 P3629 P3636 P264 P3429 P167 P46 P3702 P3701 P3529 P656 P657 P657 P772 P3639,2013-1-6
140,P657,2013-1-6
141,P3359,2013-1-6
142,P468 P2435 P469 P1997 P127 P126 P531 P1219 P1881 P441 P2706 P1892 P2034 P2518 P886 P2838 P821 P822 P1386 P811 P812 P1668 P1417 P1706 P2062 P2061 P1187 P2535 P2896 P1289 P2884 P1950 P1599 P1955 P373 P2854 P1 P1016 P638 P2569 P582 P646 P445 P302 P155 P2310 P1292 P2494 P1669 P2397 P625 P620 P2679 P294 P10 P203 P212 P460 P605 P27 P28 P29 P1276 P1177 P90 P1208 P391 P1489 P1127 P2253 P894 P1831 P1507 P1487 P1488 P1535 P110 P381,2013-1-6
143,P581 P3650 P3651 P3653 P3424 P3422 P3423 P70 P72,2013-1-6
144,P130 P622 P312 P825 P885 P426 P1636 P1127 P1918 P162 P555 P250 P885 P1413 P161 P374 P1835 P3022 P616 P673 P2008 P2332 P432 P2027 P2334 P1127 P332 P622 P506 P116 P144 P1 P885 P825 P2940 P1070 P1073 P1636 P1957 P2337 P2332 P752 P2338 P2331 P312 P622 P101 P1618 P1835 P673 P978 P126 P127 P2630 P1682 P160 P158 P144 P637 P1392 P636 P1362 P286 P559 P19,2013-1-6
145,P715 P169,2013-1-6
146,P420 P481 P19 P232 P233 P1918 P26 P18 P894 P166 P306 P961 P302 P79 P139 P652 P412 P66 P265 P829 P985 P292,2013-1-6
147,P798 P215 P3730 P54 P55 P3733 P231 P1746,2013-1-6
148,P3936 P309 P638 P961 P3406 P531 P3821 P3410 P59 P265 P292 P291 P3429 P3664 P3551 P3408 P79 P78,2013-1-6
149,P1492,2013-1-6
150,P3476 P853 P693 P694 P435 P187 P323 P3719 P739 P168 P3502,2013-1-6
151,P982 P1456 P65 P171 P172 P511 P630 P601 P602 P1344 P95 P805 P1353 P1266 P1268 P69 P1234 P1211,2013-1-6
152,P438,2013-1-6
153,P462 P1153 P2633 P1 P727 P535 P1556 P2305 P819 P1074 P2 P58 P638 P1892 P2502 P2501 P2521 P2856 P2854 P2121 P655 P855 P846 P1406 P405 P329 P382 P245 P201 P125 P1344 P1421 P532 P1857 P464 P294 P222 P233 P161 P162 P286 P285 P68 P265 P234 P235 P1361 P314 P1991 P1138 P1489 P2196 P631 P529 P1480 P1490 P130 P1542 P1536 P1475 P894,2013-1-6
154,P175 P440 P216 P1609 P10 P472 P1011 P2603 P1075 P843 P1986 P2383 P1349 P1073,2013-1-6
155,P637 P663 P149 P2603 P2602 P22 P78 P85 P274 P275 P276 P531 P127 P607 P1997 P2918 P10 P1136 P750 P2405 P2476 P125 P130,2013-1-6
